pk_hash,linked_pct,linked_year,linked_method,max_pct,max_pct_year,latest_pct,latest_year,n_attempts,gap,band,is_not_highest,pct_diff,is_dup_best
a37842ee8204,29.0,2014,EXACT,29.0,2014,29.0,2014,1,7.0,B3,False,0.0,False
99f56d7cecee,36.0,2006,EXACT,36.0,2006,36.0,2006,1,7.0,B4,False,0.0,False
c3f1a6249712,26.0,2012,EXACT,26.0,2012,26.0,2012,1,6.0,B3,False,0.0,False
dc3651f7a996,21.0,2012,EXACT,21.0,2012,21.0,2012,1,9.0,B3,False,0.0,False
87b0fb9d5821,21.0,2009,EXACT,21.0,2009,21.0,2009,1,6.0,B3,False,0.0,False
e4ad8c936602,23.0,2007,EXACT,23.0,2007,23.0,2007,1,8.0,B3,False,0.0,False
29d735e543fb,19.0,2009,EXACT,19.0,2009,19.0,2009,1,6.0,B2,False,0.0,False
9597836e31ba,23.0,2009,EXACT,23.0,2009,23.0,2009,1,7.0,B3,False,0.0,False
c1a01378fee7,6.0,2012,EXACT,6.0,2012,6.0,2012,1,6.0,B1,False,0.0,False
09fb4a0d6be8,3.0,2013,EXACT,3.0,2013,3.0,2013,1,6.0,B1,False,0.0,False
9bde88aca085,32.0,2007,EXACT,32.0,2007,32.0,2007,1,6.0,B4,False,0.0,False
e4990c10f255,10.0,2010,EXACT,10.0,2010,10.0,2010,1,9.0,B2,False,0.0,False
e3d636503a42,11.0,2014,MANUAL_APPNO_MATCH,11.0,2014,11.0,2014,1,,B2,False,0.0,False
5304c9a21d15,31.0,2010,EXACT,31.0,2010,31.0,2010,1,8.0,B4,False,0.0,False
d53a374b6cc5,24.0,2007,EXACT,24.0,2007,24.0,2007,1,7.0,B3,False,0.0,False
aea0e4e90b25,21.0,2006,EXACT,21.0,2006,21.0,2006,1,7.0,B3,False,0.0,False
7e2c112c9647,38.0,2007,EXACT,38.0,2007,38.0,2007,1,7.0,B4,False,0.0,False
f021e17dbed3,23.0,2012,EXACT,23.0,2012,23.0,2012,1,7.0,B3,False,0.0,False
3e1b45dd56e5,36.0,2009,EXACT,36.0,2009,36.0,2009,1,7.0,B4,False,0.0,False
d99620f62c3b,17.0,2006,EXACT,17.0,2006,17.0,2006,1,6.0,B2,False,0.0,False
d3d06eb7c900,4.0,2008,DETERMINISTIC_APPNO,4.0,2008,4.0,2008,1,,B1,False,0.0,False
3df4e1a4b037,30.0,2011,EXACT,30.0,2011,30.0,2011,1,5.0,B4,False,0.0,False
78b0720e699b,14.0,2009,EXACT,14.0,2009,14.0,2009,1,8.0,B2,False,0.0,False
1976a4e817c5,12.0,2013,EXACT,12.0,2013,12.0,2013,1,7.0,B2,False,0.0,False
bf7a7fbc62b1,38.0,2006,EXACT,38.0,2006,38.0,2006,1,7.0,B4,False,0.0,False
571a00e53ee4,19.0,2011,EXACT,19.0,2011,19.0,2011,1,8.0,B2,False,0.0,False
a8ceceabee21,31.0,2010,EXACT,31.0,2010,31.0,2010,1,5.0,B4,False,0.0,False
9e24d52db2af,33.0,2006,EXACT,33.0,2006,33.0,2006,1,6.0,B4,False,0.0,False
49594d238eb0,36.0,2011,EXACT,36.0,2011,36.0,2011,1,6.0,B4,False,0.0,False
2cf68b58e8ae,36.0,2010,EXACT,36.0,2010,36.0,2010,1,8.0,B4,False,0.0,False
